geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
INPP1	BS_996ZS2A4	4.221827644196692e-9	3.36253153411233e-5	4.63	1.6	5526	2557.64	844.12	18.4	TRUE	118	3	21
TBPL1	BS_996ZS2A4	4.514496751120374e-9	3.36253153411233e-5	4.97	1.06	1977	1121.83	536.23	50.08	TRUE	118	2	21
OSBP	BS_ERJAJ0KA	2.003657382159116e-9	3.3631029003311204e-5	5.48	0.66	7943	6030.06	3795.94	145.94	TRUE	38	4	9.5
CEP128	BS_ERJAJ0KA	2.0523926640609068e-9	3.3631029003311204e-5	5.12	1.27	2467	1290.19	534.5	33.94	TRUE	38	1	9.5
USP19	BS_S6S7SK3P	2.6777481766748025e-9	3.3752510562337604e-5	-6.33	-0.65	2205	2288.57	3587.01	219.54	TRUE	89	3	13
CHST11	BS_P7EY9DXG	4.124390733253434e-9	3.379165858461622e-5	4.58	1.89	13544	13180.55	3543.71	11.98	TRUE	84	2	20
CUL9	BS_DHA5FMVW	5.986100430285185e-9	3.38240574143992e-5	-6.5	-0.96	576	1395.02	2705.55	108.12	TRUE	178	2	28.5
HSPA12B	BS_DHA5FMVW	5.839269291530704e-9	3.38240574143992e-5	4.42	1.99	12601	1006.91	253.02	10.32	TRUE	178	3	28.5
AGO3	BS_P7EY9DXG	4.339199598786956e-9	3.385868093264209e-5	5.23	0.86	15173	6515.99	3589.37	78.58	TRUE	84	2	21
YIPF6	BS_2HNXVFAS	1.4495457378191238e-8	3.393232243647615e-5	5.18	0.69	4426	4394.98	2718.71	120.42	TRUE	170	1	70
HERC1	BS_CXVJK2FY	8.288685451959512e-10	3.395512780222809e-5	5.59	0.79	15358	17304.7	10023.85	104.43	TRUE	50	2	3.5
